S.No,Text,x0,y0,x1,y1,Page_No,height,width
60,C,39,437,45,456,1,18,6
61,C,39,416,45,435,1,18,6
62,treet,44,458,65,466,1,8,20
63,S,39,458,44,476,1,18,5
64,Section II (To be completed by Laboratory Range Service Provider),54,278,431,287,1,9,377
65,,423,262,426,273,1,11,3
66,Name,181,265,208,273,1,8,26
67,,39,262,42,273,1,11,3
68,Comments,181,206,303,244,1,37,122
69,,181,233,185,244,1,11,3
70,,181,218,185,229,1,11,3
71,Comments,181,206,303,215,1,8,122
72,dd,423,247,437,255,1,8,14
73,,423,233,426,244,1,11,3
74,,423,218,426,229,1,11,3
75,ompleted with exceptions,46,172,153,181,1,9,107
76,C,39,172,46,193,1,20,6
77,Completed as requested,39,195,140,204,1,9,100
78,nable to complete,46,149,122,158,1,9,76
79,U,39,149,46,170,1,20,7
80,Entered By:,39,234,87,242,1,8,47
81,Verified By:,39,219,89,228,1,8,49
82,,20,672,25,684,1,12,5
83,,20,594,23,642,1,48,3
84,,20,48,22,59,1,11,2
85,,517,783,553,802,1,19,35
86,,39,511,443,523,1,11,404
87,Section I (To be completed by Monitor or CRO designee),106,512,379,521,1,9,273
88,,33,148,34,149,1,0,0
89,,552,148,553,149,1,0,0
90,,28,684,83,720,1,36,54
91,,498,691,680,714,1,23,182
92,PD 24,514,695,553,707,1,12,39
93,,450,618,551,634,1,15,101
94,,454,622,457,633,1,11,3
95,,395,525,551,616,1,91,155
96,,454,604,457,615,1,11,3
97,Policies and Procedures - UCM System,54,778,244,794,2,15,190
98,Page 1 of 8,503,778,558,794,2,15,54
99,http://mayocontent.mayo.edu/dlmpaz/print/DOCMAN-0000116187,54,0,379,15,2,15,325
100,6/13/2014,509,0,558,15,2,15,48
101,,0,0,612,792,2,791,612
102,Laboratory Medicine and Pathology: Arizona,56,711,251,725,2,13,194
103,Chemistry Normal Ranges,56,675,325,704,2,29,269
104,Content Applies To,56,645,205,667,2,22,149
105,"Mayo Clinic in Arizona: Core Laboratory, Division of Laboratory Medicine",56,621,401,635,2,14,345
106,Purpose,56,591,123,613,2,22,67
107,The purpose of this list is to identify the laboratory tests and their respective normal ranges.,56,567,488,581,2,14,431
108,This list pertains to testing that is performed in Mayo Clinic Arizona.,56,543,404,557,2,14,347
109,"Mayo Clinic Scottsdale, 13400 East Shea Boulevard, Scottsdale, AZ 85259",57,517,427,531,2,14,369
110,"Mayo Clinic Hospital, 5777 East Mayo Boulevard, Phoenix, AZ 85054",57,503,399,518,2,14,341
111,,56,54,486,530,2,476,430
112,CHEMISTRY RESULTS,211,490,325,505,2,14,114
113,Units of,432,477,474,492,2,14,42
114,Measure,430,465,476,480,2,14,45
115,mcg/mL,433,439,473,453,2,14,40
116,,450,426,456,440,2,14,5
117,,450,413,456,427,2,14,5
118,g/dL,441,400,465,414,2,14,23
119,g/dL,441,381,465,395,2,14,23
120,U/L,444,349,463,363,2,14,19
121,U/L,444,336,463,350,2,14,19
122,U/L,444,322,463,337,2,14,19
123,U/L,444,309,463,323,2,14,19
124,U/L,444,296,463,310,2,14,19
125,U/L,444,283,463,297,2,14,19
126,U/L,444,270,463,284,2,14,19
127,U/L,444,257,463,271,2,14,19
128,U/L,444,244,463,258,2,14,19
129,U/L,444,231,463,245,2,14,19
130,U/L,444,218,463,232,2,14,19
131,U/L,444,204,463,219,2,14,19
132,U/L,444,191,463,205,2,14,19
133,U/L,444,178,463,192,2,14,19
134,U/L,444,165,463,179,2,14,19
135,U/L,444,152,463,166,2,14,19
136,U/L,444,139,463,153,2,14,19
137,U/L,444,126,463,140,2,14,19
138,U/L,444,113,463,127,2,14,19
139,U/L,444,100,463,114,2,14,19
140,g/dL,441,86,465,101,2,14,23
141,g/dL,441,73,465,87,2,14,23
142,MALE,224,452,254,467,2,14,29
143,0 - 50,226,439,253,453,2,14,27
144,,238,426,243,440,2,14,5
145,7.350 - 7.450,208,413,270,427,2,14,62
146,3.5 - 5.0,220,400,259,414,2,14,38
147,3.4 - 4.7,220,381,261,395,2,14,41
148,FEMALE,338,452,382,467,2,14,43
149,0 - 50,347,439,374,453,2,14,26
150,,359,426,361,440,2,14,2
151,3.5 - 5.0,341,400,379,414,2,14,38
152,3.4 - 4.7,341,381,382,395,2,14,41
153,7.350 - 7.450,329,413,391,427,2,14,62
154,Age,304,362,322,376,2,14,18
155,,418,452,424,466,2,13,5
156,,418,362,424,376,2,13,5
157,Alpha1-GlobulinAlpha2-GlobulinAlpha-Fetoprotein,57,55,201,466,2,411,143
158,,57,452,63,466,2,13,5
159,Acetaminophen,57,439,139,454,2,14,81
160,Acid Base Balance,57,426,155,441,2,14,97
161,pH (venous),57,413,121,428,2,14,63
162,Albumin (BCG method),57,400,177,415,2,14,119
163,Albumin (Protein,57,387,145,401,2,14,87
164,Electrophoresis),57,375,143,390,2,14,85
165,Alkaline Phosphatase Age,57,362,201,377,2,14,143
166,,57,349,63,363,2,13,5
167,,57,336,63,349,2,13,5
168,,57,323,63,336,2,13,5
169,,57,309,63,323,2,13,5
170,,57,296,63,310,2,13,5
171,,57,283,63,297,2,13,5
172,,57,270,63,284,2,13,5
173,,57,257,63,271,2,13,5
174,,57,244,63,258,2,13,5
175,,57,231,63,245,2,13,5
176,,57,218,63,232,2,13,5
177,,57,205,63,218,2,13,5
178,,57,191,63,205,2,13,5
179,,57,178,63,192,2,13,5
180,,57,165,63,179,2,13,5
181,,57,152,63,166,2,13,5
182,,57,139,63,153,2,13,5
183,,57,126,63,140,2,13,5
184,,57,113,63,127,2,13,5
185,,57,100,63,114,2,13,5
186,Alpha 1-Globulin,57,86,145,101,2,14,87
187,Alpha 2-Globulin,57,73,145,88,2,14,87
188,Alpha-Fetoprotein,57,55,151,70,2,14,93
189,,180,139,185,153,2,13,5
190,,180,126,185,140,2,13,5
191,,180,113,185,127,2,13,5
192,,180,100,185,114,2,13,5
193,<4,202,349,217,363,2,14,14
194,5,205,336,214,350,2,14,8
195,6,205,322,214,337,2,14,8
196,7,205,309,214,323,2,14,8
197,8,205,296,214,310,2,14,8
198,9,205,283,214,297,2,14,8
199,10,202,270,217,284,2,14,14
200,11,202,257,217,271,2,14,14
201,12,202,244,217,258,2,14,14
202,13,202,231,217,245,2,14,14
203,14,202,218,217,232,2,14,14
204,15,202,204,217,219,2,14,14
205,16,202,191,217,205,2,14,14
206,17,202,178,217,192,2,14,14
207,18,202,165,217,179,2,14,14
208,≥19,199,152,220,166,2,14,20
209,Normal,240,362,274,376,2,14,34
210,149 - 369,240,349,284,363,2,14,44
211,179 - 416,240,336,284,350,2,14,44
212,179 - 417,240,322,284,337,2,14,44
213,172 - 405,240,309,284,323,2,14,44
214,169 - 401,240,296,284,310,2,14,44
215,175 - 411,240,283,284,297,2,14,44
216,191 - 435,240,270,284,284,2,14,44
217,185 - 507,240,257,284,271,2,14,44
218,185 - 562,240,244,284,258,2,14,44
219,182 - 587,240,231,284,245,2,14,44
220,166 - 571,240,218,284,232,2,14,44
221,138 - 511,240,205,284,219,2,14,44
222,102 - 417,240,191,284,205,2,14,44
223,69 - 311,240,178,278,192,2,14,38
224,52 - 222,240,165,278,179,2,14,38
225,45 - 115,240,152,278,166,2,14,38
226,0.1 - 0.3,220,86,259,101,2,14,38
227,0.6 - 1.0,220,73,259,87,2,14,38
228,<4,323,349,335,363,2,14,12
229,5,326,336,332,350,2,14,5
230,6,326,322,332,337,2,14,5
231,7,326,309,332,323,2,14,5
232,8,326,296,332,310,2,14,5
233,9,326,283,332,297,2,14,5
234,10,323,270,335,284,2,14,11
235,11,323,257,335,271,2,14,11
236,12,323,244,335,258,2,14,11
237,13,323,231,335,245,2,14,11
238,14,323,218,335,232,2,14,11
239,15,323,205,335,219,2,14,11
240,16,323,191,335,205,2,14,11
241,17-23,316,178,343,192,2,14,26
242,24-45,316,165,343,179,2,14,26
243,46-50,316,152,343,166,2,14,26
244,51-55,316,139,343,153,2,14,26
245,56-60,316,126,343,140,2,14,26
246,61-65,316,113,343,127,2,14,26
247,≥66,320,100,338,114,2,14,17
248,Normal,356,362,390,376,2,14,34
249,169 - 372,356,349,400,363,2,14,44
250,162 - 355,356,336,400,350,2,14,44
251,169 - 370,356,322,400,337,2,14,44
252,183 - 402,356,309,400,323,2,14,44
253,199 - 440,356,296,400,310,2,14,44
254,212 - 468,356,283,400,297,2,14,44
255,215 - 476,356,270,400,284,2,14,44
256,178 - 526,356,257,400,271,2,14,44
257,133 - 485,356,244,400,258,2,14,44
258,120 - 449,356,231,400,245,2,14,44
259,153 - 362,356,218,400,232,2,14,44
260,75 - 274,356,205,394,219,2,14,38
261,61 - 264,356,191,394,205,2,14,38
262,52 - 144,356,178,394,192,2,14,38
263,37 - 98,356,165,389,179,2,14,32
264,39 - 100,356,152,394,166,2,14,38
265,41 - 108,356,139,394,153,2,14,38
266,46 - 118,356,126,394,140,2,14,38
267,50 - 130,356,113,394,127,2,14,38
268,55 - 142,356,100,394,114,2,14,38
269,0.1 - 0.3,341,86,379,101,2,14,38
270,0.6 - 1.0,341,73,379,87,2,14,38
271,,57,516,486,529,2,13,428
272,,57,503,486,516,2,13,428
273,,57,490,486,503,2,13,428
274,,57,465,179,490,2,24,122
275,,57,465,179,490,2,24,122
276,ANALYTE,93,471,145,486,2,14,52
277,,179,465,418,490,2,24,238
278,,179,465,418,490,2,24,238
279,NORMAL RANGE,252,471,342,486,2,14,90
280,,418,465,486,490,2,24,67
281,,57,452,179,465,2,13,122
282,,179,452,303,465,2,13,124
283,,303,452,418,465,2,13,114
284,,418,452,486,465,2,13,67
285,,57,439,179,452,2,13,122
286,,179,439,303,452,2,13,124
287,,303,439,418,452,2,13,114
288,,418,439,486,452,2,13,67
289,,57,425,179,439,2,13,122
290,,179,425,303,439,2,13,124
291,,303,425,418,439,2,13,114
292,,418,425,486,439,2,13,67
293,,57,412,179,425,2,13,122
294,,179,412,303,425,2,13,124
295,,303,412,418,425,2,13,114
296,,418,412,486,425,2,13,67
297,,57,399,179,412,2,13,122
298,,179,399,303,412,2,13,124
299,,303,399,418,412,2,13,114
300,,418,399,486,412,2,13,67
301,,57,374,179,399,2,24,122
302,,179,374,303,399,2,24,124
303,,303,374,418,399,2,24,114
304,,418,374,486,399,2,24,67
305,,57,361,179,374,2,13,122
306,,179,361,239,374,2,13,60
307,,239,361,303,374,2,13,63
308,,303,361,355,374,2,13,52
309,,355,361,418,374,2,13,62
310,,418,361,486,374,2,13,67
311,,57,348,179,361,2,13,122
312,,179,348,239,361,2,13,60
313,,239,348,303,361,2,13,63
314,,303,348,355,361,2,13,52
315,,355,348,418,361,2,13,62
316,,418,348,486,361,2,13,67
317,,57,335,179,348,2,13,122
318,,179,335,239,348,2,13,60
319,,239,335,303,348,2,13,63
320,,303,335,355,348,2,13,52
321,,355,335,418,348,2,13,62
322,,418,335,486,348,2,13,67
323,,57,322,179,335,2,13,122
324,,179,322,239,335,2,13,60
325,,239,322,303,335,2,13,63
326,,303,322,355,335,2,13,52
327,,355,322,418,335,2,13,62
328,,418,322,486,335,2,13,67
329,,57,309,179,322,2,13,122
330,,179,309,239,322,2,13,60
331,,239,309,303,322,2,13,63
332,,303,309,355,322,2,13,52
333,,355,309,418,322,2,13,62
334,,418,309,486,322,2,13,67
335,,57,296,179,309,2,13,122
336,,179,296,239,309,2,13,60
337,,239,296,303,309,2,13,63
338,,303,296,355,309,2,13,52
339,,355,296,418,309,2,13,62
340,,418,296,486,309,2,13,67
341,,57,283,179,296,2,13,122
342,,179,283,239,296,2,13,60
343,,239,283,303,296,2,13,63
344,,303,283,355,296,2,13,52
345,,355,283,418,296,2,13,62
346,,418,283,486,296,2,13,67
347,,57,269,179,283,2,13,122
348,,179,269,239,283,2,13,60
349,,239,269,303,283,2,13,63
350,,303,269,355,283,2,13,52
351,,355,269,418,283,2,13,62
352,,418,269,486,283,2,13,67
353,,57,256,179,269,2,13,122
354,,179,256,239,269,2,13,60
355,,239,256,303,269,2,13,63
356,,303,256,355,269,2,13,52
357,,355,256,418,269,2,13,62
358,,418,256,486,269,2,13,67
359,,57,243,179,256,2,13,122
360,,179,243,239,256,2,13,60
361,,239,243,303,256,2,13,63
362,,303,243,355,256,2,13,52
363,,355,243,418,256,2,13,62
364,,418,243,486,256,2,13,67
365,,57,230,179,243,2,13,122
366,,179,230,239,243,2,13,60
367,,239,230,303,243,2,13,63
368,,303,230,355,243,2,13,52
369,,355,230,418,243,2,13,62
370,,418,230,486,243,2,13,67
371,,57,217,179,230,2,13,122
372,,179,217,239,230,2,13,60
373,,239,217,303,230,2,13,63
374,,303,217,355,230,2,13,52
375,,355,217,418,230,2,13,62
376,,418,217,486,230,2,13,67
377,,57,204,179,217,2,13,122
378,,179,204,239,217,2,13,60
379,,239,204,303,217,2,13,63
380,,303,204,355,217,2,13,52
381,,355,204,418,217,2,13,62
382,,418,204,486,217,2,13,67
383,,57,191,179,204,2,13,122
384,,179,191,239,204,2,13,60
385,,239,191,303,204,2,13,63
386,,303,191,355,204,2,13,52
387,,355,191,418,204,2,13,62
388,,418,191,486,204,2,13,67
389,,57,178,179,191,2,13,122
390,,179,178,239,191,2,13,60
391,,239,178,303,191,2,13,63
392,,303,178,355,191,2,13,52
393,,355,178,418,191,2,13,62
394,,418,178,486,191,2,13,67
395,,57,165,179,178,2,13,122
396,,179,165,239,178,2,13,60
397,,239,165,303,178,2,13,63
398,,303,165,355,178,2,13,52
399,,355,165,418,178,2,13,62
400,,418,165,486,178,2,13,67
401,,57,151,179,165,2,13,122
402,,179,151,239,165,2,13,60
403,,239,151,303,165,2,13,63
404,,303,151,355,165,2,13,52
405,,355,151,418,165,2,13,62
406,,418,151,486,165,2,13,67
407,,57,138,179,151,2,13,122
408,,179,138,303,151,2,13,124
409,,303,138,355,151,2,13,52
410,,355,138,418,151,2,13,62
411,,418,138,486,151,2,13,67
412,,57,125,179,138,2,13,122
413,,179,125,303,138,2,13,124
414,,303,125,355,138,2,13,52
415,,355,125,418,138,2,13,62
416,,418,125,486,138,2,13,67
417,,57,112,179,125,2,13,122
418,,179,112,303,125,2,13,124
419,,303,112,355,125,2,13,52
420,,355,112,418,125,2,13,62
421,,418,112,486,125,2,13,67
422,,57,99,179,112,2,13,122
423,,179,99,303,112,2,13,124
424,,303,99,355,112,2,13,52
425,,355,99,418,112,2,13,62
426,,418,99,486,112,2,13,67
427,,57,86,179,99,2,13,122
428,,179,86,303,99,2,13,124
429,,303,86,418,99,2,13,114
430,,418,86,486,99,2,13,67
431,,57,73,179,86,2,13,122
432,,179,73,303,86,2,13,124
433,,303,73,418,86,2,13,114
434,,418,73,486,86,2,13,67
435,,57,54,179,73,2,18,122
436,,179,54,303,73,2,18,124
437,,303,54,418,73,2,18,114
438,,418,54,486,73,2,18,67
439,Policies and Procedures - UCM System,54,778,244,794,3,15,190
440,Page 2 of 8,503,778,558,794,3,15,54
441,http://mayocontent.mayo.edu/dlmpaz/print/DOCMAN-0000116187,54,0,379,15,3,15,325
442,6/13/2014,509,0,558,15,3,15,48
443,,0,0,612,792,3,791,612
444,AntinuclearAntibody(ANA)B12Beta-GlobulinBloodUreaNitrogenCA19-9CarbamazepineCarcinoembryonicAg(CEA)ChlorideCholesterolCKMBComplementC3Creatinine,57,58,170,739,3,680,112
445,(AFP),57,724,88,739,3,14,30
446,Ammonia,57,711,108,726,3,14,50
447,Amylase,57,698,104,713,3,14,46
448,,57,685,63,700,3,14,5
449,,57,672,63,687,3,14,5
450,,57,659,63,674,3,14,5
451,Antinuclear Antibody,57,646,167,660,3,14,109
452,(ANA),57,634,90,649,3,14,32
453,Arterial Blood Gas,57,621,153,636,3,14,95
454,pO2,57,608,81,622,3,14,23
455,AST,57,595,81,609,3,14,23
456,,57,581,63,596,3,14,5
457,,57,568,63,583,3,14,5
458,B12,57,555,79,570,3,14,22
459,Beta-Globulin,57,542,129,557,3,14,71
460,Beta-hydroxybutyrate,57,529,169,544,3,14,111
461,Bicarbonate,57,516,121,531,3,14,63
462,Bilirubin Direct,57,503,136,518,3,14,78
463,Bilirubin Total,57,490,131,504,3,14,73
464,,57,477,63,491,3,14,5
465,,57,464,63,477,3,13,5
466,,57,450,63,464,3,14,5
467,Blood Urea Nitrogen,57,437,163,452,3,14,105
468,,57,424,63,438,3,13,5
469,,57,411,63,425,3,13,5
470,CA 19-9,57,398,99,413,3,14,41
471,Calcium,57,385,101,400,3,14,43
472,,57,372,63,386,3,14,5
473,,57,359,63,373,3,14,5
474,,57,345,63,360,3,14,5
475,,57,332,63,347,3,14,5
476,,57,319,63,334,3,14,5
477,Carbamazepine,57,306,138,321,3,14,80
478,Carcinoembryonic Ag,57,293,170,308,3,14,112
479,(CEA),57,281,89,296,3,14,31
480,Chloride,57,268,103,283,3,14,45
481,,57,255,63,270,3,14,5
482,,57,242,63,257,3,14,5
483,Cholesterol,57,229,118,244,3,14,60
484,,57,216,63,230,3,14,5
485,,57,203,63,217,3,14,5
486,CKMB,57,189,92,204,3,14,34
487,Complement C3,57,176,140,191,3,14,82
488,Complement C4,57,163,140,178,3,14,82
489,Cortisol AM,57,150,119,165,3,14,61
490,Cortisol PM,57,137,119,152,3,14,61
491,Creatine Kinase (CK),57,124,165,139,3,14,107
492,,57,111,63,126,3,14,5
493,,57,98,63,112,3,14,5
494,,57,85,63,99,3,14,5
495,,57,72,63,85,3,13,5
496,Creatinine,57,58,112,73,3,14,54
497,< 6,232,724,247,738,3,14,14
498,< 60,229,711,250,725,3,14,20
499,Normal,248,698,282,712,3,14,34
500,8 - 79,252,685,278,699,3,14,26
501,21 - 110,246,672,284,686,3,14,38
502,26 - 102,246,659,284,673,3,14,38
503,Age,195,698,216,712,3,14,21
504,1 - 3,193,685,217,699,3,14,23
505,4 - 17,190,672,220,686,3,14,29
506,≥18,195,659,215,673,3,14,20
507,< 6,353,724,367,738,3,14,14
508,< 60,350,711,370,725,3,14,20
509,Normal,369,698,403,712,3,14,34
510,8 - 79,373,685,400,699,3,14,26
511,21 - 110,367,672,406,686,3,14,38
512,26 - 102,367,659,406,673,3,14,38
513,Age,320,698,338,712,3,14,18
514,1 - 3,318,685,340,699,3,14,21
515,4 - 17,316,672,343,686,3,14,26
516,≥18,320,659,338,673,3,14,17
517,ng/mL,437,724,469,738,3,14,31
518,mcg/dL,434,711,472,725,3,14,37
519,,450,698,456,712,3,14,5
520,U/L,444,685,463,699,3,14,19
521,U/L,444,672,463,686,3,14,19
522,U/L,444,659,463,673,3,14,19
523,units,441,640,468,654,3,14,27
524,,238,621,243,635,3,14,5
525,80 - 100,220,608,259,622,3,14,38
526,Age,195,595,216,609,3,14,21
527,1 - 13,190,581,220,596,3,14,29
528,≥14,195,568,215,582,3,14,20
529,Normal,248,595,282,609,3,14,34
530,8 - 60,252,581,278,596,3,14,26
531,8 - 48,252,568,278,582,3,14,26
532,,359,621,361,635,3,14,2
533,80 - 100,341,608,379,622,3,14,38
534,Age,320,595,338,609,3,14,18
535,1 - 13,316,581,343,596,3,14,26
536,≥14,320,568,338,582,3,14,17
537,Normal,369,595,403,609,3,14,34
538,8 - 50,373,581,400,596,3,14,26
539,8 - 43,373,568,400,582,3,14,26
540,180 – 914,216,555,263,569,3,14,46
541,0.7 - 1.2,220,542,259,556,3,14,38
542,0.1-0.3,223,529,256,543,3,14,32
543,22 - 29,223,516,256,530,3,14,32
544,0 - 0.3,224,503,254,517,3,14,29
545,,180,450,185,464,3,13,5
546,,230,450,235,464,3,13,5
547,Age,195,490,216,504,3,14,21
548,1,201,477,210,491,3,14,8
549,≥2,198,463,212,478,3,14,14
550,Age,195,437,216,451,3,14,21
551,1 – 17,189,424,221,438,3,14,31
552,≥18,195,411,215,425,3,14,20
553,Age,195,385,216,399,3,14,21
554,1 - 14,190,372,220,386,3,14,29
555,15 - 16,188,359,223,373,3,14,35
556,17 - 18,188,345,223,360,3,14,35
557,19 - 21,188,332,223,346,3,14,35
558,≥22,195,319,215,333,3,14,20
559,Normal,248,490,282,504,3,14,34
560,0.1 – 1.0,244,477,286,491,3,14,41
561,0.1 - 1.1,246,464,284,478,3,14,38
562,Normal,248,437,282,451,3,14,34
563,7 – 20,250,424,280,438,3,14,29
564,8 – 24,250,411,283,425,3,14,32
565,Normal,248,385,282,399,3,14,34
566,9.6 - 10.6,243,372,287,386,3,14,44
567,9.5 - 10.5,243,359,290,373,3,14,47
568,9.5 - 10.4,243,346,287,360,3,14,44
569,9.3 - 10.3,243,332,287,346,3,14,44
570,8.9 - 10.1,243,319,287,333,3,14,44
571,180 - 914,338,555,382,569,3,14,44
572,0.7 - 1.2,341,542,379,556,3,14,38
573,0.1-0.3,344,529,376,543,3,14,32
574,22 - 29,344,516,376,530,3,14,32
575,0 - 0.3,345,503,375,517,3,14,29
576,Age,320,490,338,504,3,14,18
577,1 - 3,318,477,340,491,3,14,21
578,4 - 12,316,464,343,478,3,14,26
579,≥13,320,450,338,464,3,14,17
580,Age,320,437,338,451,3,14,18
581,1 – 17,314,424,344,438,3,14,29
582,≥18,320,411,338,425,3,14,17
583,Age,320,385,338,399,3,14,18
584,1 - 11,316,372,343,386,3,14,26
585,12 - 14,313,359,345,373,3,14,32
586,15 - 18,313,346,345,360,3,14,32
587,≥19,320,332,338,346,3,14,17
588,,328,319,330,333,3,14,2
589,Normal,369,490,403,504,3,14,34
590,0.1 – 0.9,366,477,407,491,3,14,41
591,0.2 – 1.0,366,464,407,478,3,14,41
592,0.1 - 1.1,367,450,406,464,3,14,38
593,Normal,369,437,403,451,3,14,34
594,7 - 20,373,424,400,438,3,14,26
595,6 - 21,373,411,400,425,3,14,26
596,Normal,369,385,403,399,3,14,34
597,9.6 - 10.6,364,372,409,386,3,14,44
598,9.5 - 10.4,364,359,409,373,3,14,44
599,9.1 - 10.3,364,346,409,360,3,14,44
600,8.9 - 10.1,364,332,409,346,3,14,44
601,,385,319,388,333,3,14,2
602,<55,230,398,248,412,3,14,17
603,<55,351,398,369,412,3,14,17
604,4-12.0,224,306,254,320,3,14,29
605,<3,233,287,248,301,3,14,14
606,4-12.0,345,306,375,320,3,14,29
607,<3,354,287,369,301,3,14,14
608,Age,195,268,216,282,3,14,21
609,1 - 17,190,255,220,269,3,14,29
610,≥18,195,242,215,256,3,14,20
611,Normal,248,268,282,282,3,14,34
612,102 - 112,243,255,287,269,3,14,44
613,98-107,249,242,281,256,3,14,32
614,Desirable <200,204,229,275,243,3,14,71
615,Age,320,268,338,282,3,14,18
616,1 - 17,316,255,343,269,3,14,26
617,≥18,320,242,338,256,3,14,17
618,Desirable <200,324,229,396,243,3,14,71
619,Normal,369,268,403,282,3,14,34
620,102 - 112,364,255,409,269,3,14,44
621,98-107,370,242,403,256,3,14,32
622,Borderline high 200 - 239 Borderline high 200-239,180,216,416,230,3,14,236
623,High > or = 240,203,203,276,217,3,14,72
624,<6.6 ng/mL,213,190,266,204,3,14,53
625,High > or = 240,324,203,396,217,3,14,72
626,<3.7 ng/mL,333,190,387,204,3,14,53
627,75 - 175,220,176,259,190,3,14,38
628,14 - 40,223,163,256,177,3,14,32
629,7 - 25,226,150,253,164,3,14,26
630,2 - 14,226,137,253,151,3,14,26
631,75 - 175,341,176,379,190,3,14,38
632,14 - 40,344,163,376,177,3,14,32
633,7 to 25,344,150,376,164,3,14,32
634,2 to 14,344,137,376,151,3,14,32
635,Age,195,124,216,138,3,14,21
636,6 - 11,190,111,220,125,3,14,29
637,12 - 17,188,98,223,112,3,14,35
638,≥18,195,85,215,99,3,14,20
639,,180,72,185,85,3,13,5
640,Normal,248,124,282,138,3,14,34
641,150 - 499,243,111,287,125,3,14,44
642,94 - 499,246,98,284,112,3,14,38
643,52 - 336,246,85,284,99,3,14,38
644,Age,195,58,216,72,3,14,21
645,Normal,248,58,282,72,3,14,34
646,Age,320,124,338,138,3,14,18
647,6 - 7,318,111,340,125,3,14,21
648,8 - 14,316,98,343,112,3,14,26
649,15 - 17,313,85,345,99,3,14,32
650,≥18,320,72,338,86,3,14,17
651,Age,320,58,338,72,3,14,18
652,Normal,369,124,403,138,3,14,34
653,134 - 391,364,111,409,125,3,14,44
654,91 - 391,367,98,406,112,3,14,38
655,53 - 269,367,85,406,99,3,14,38
656,38 - 176,367,72,406,86,3,14,38
657,Normal,369,58,403,72,3,14,34
658,,450,621,456,635,3,14,5
659,mmHg,436,608,470,622,3,14,33
660,,450,595,456,609,3,14,5
661,U/L,444,581,463,596,3,14,19
662,U/L,444,568,463,582,3,14,19
663,ng/L,441,555,465,569,3,14,23
664,g/dL,441,542,465,556,3,14,23
665,mmol/L,434,529,472,543,3,14,37
666,mmol/L,434,516,472,530,3,14,37
667,mg/dL,437,503,469,517,3,14,31
668,,450,490,456,504,3,14,5
669,mg/dL,437,477,469,491,3,14,31
670,mg/dL,437,463,469,478,3,14,31
671,mg/dL,437,450,469,464,3,14,31
672,mg/dL,437,424,469,438,3,14,31
673,mg/dL,437,411,469,425,3,14,31
674,U/mL,439,398,467,412,3,14,27
675,,450,385,456,399,3,14,5
676,mg/dL,437,372,469,386,3,14,31
